,lon,lat,wind_cf,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
138,-94.26146,33.474808,0.30402909899999997,POINT (-94.26146 33.474808),56,57,57,7.58671787655,1.44614137026,p57,rto8,SPP
139,-93.7773,41.592209999999994,0.392196094,POINT (-93.7773 41.59220999999999),69,70,70,15.1750241909,7.56486538702,p70,rto6,MISO
140,-93.7773,41.592209999999994,0.392196094,POINT (-93.7773 41.59220999999999),69,70,70,15.1750241909,7.56486538702,p70,rto6,MISO
144,-93.57564,41.652126,0.369072374,POINT (-93.57564000000001 41.652126),69,70,70,15.1750241909,7.56486538702,p70,rto6,MISO
145,-93.57564,41.652126,0.369072374,POINT (-93.57564000000001 41.652126),69,70,70,15.1750241909,7.56486538702,p70,rto6,MISO
141,-93.648834,37.183105,0.36378937,POINT (-93.64883399999999 37.183105),54,55,55,9.8295230113,3.77142032521,p55,rto8,SPP
142,-93.634636,37.187702,0.370123235,POINT (-93.634636 37.187702),54,55,55,9.8295230113,3.77142032521,p55,rto8,SPP
143,-93.62031999999999,37.187115000000006,0.370123235,POINT (-93.62031999999999 37.18711500000001),54,55,55,9.8295230113,3.77142032521,p55,rto8,SPP
146,-93.368256,32.58548,0.26562900100000003,POINT (-93.368256 32.58548),57,58,58,56.5389608358,9.73296463902,p58,rto13,MISO
147,-93.36428000000001,32.585968,0.264730984,POINT (-93.36428000000001 32.585968),57,58,58,56.5389608358,9.73296463902,p58,rto13,MISO
148,-93.36112,32.586353,0.264730984,POINT (-93.36112 32.586353),57,58,58,56.5389608358,9.73296463902,p58,rto13,MISO
153,-90.43039,30.085167,0.237136922,POINT (-90.43039 30.085167),57,58,58,56.5389608358,9.73296463902,p58,rto13,MISO
149,-93.32092,43.683665999999995,0.43580820000000003,POINT (-93.32092 43.683666),67,68,68,10.8262475585,2.4376375219,p68,rto11,MISO
150,-93.18584399999999,45.067116,0.36896271799999997,POINT (-93.18584399999999 45.067116),42,43,43,29.5714933709,14.4062145936,p43,rto11,MISO
151,-92.25406,34.778324,0.25899168100000003,POINT (-92.25406 34.778324),84,85,85,27.0108861016,9.90245619931,p85,rto13,MISO
156,-90.19331,35.171036,0.31376774,POINT (-90.19331 35.171036),84,85,85,27.0108861016,9.90245619931,p85,rto13,MISO
157,-90.19331,35.171036,0.31376774,POINT (-90.19331 35.171036),84,85,85,27.0108861016,9.90245619931,p85,rto13,MISO
160,-90.15195,35.155933000000005,0.299643414,POINT (-90.15195 35.155933),84,85,85,27.0108861016,9.90245619931,p85,rto13,MISO
